Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
10398,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Microelectronics & VLSI Design,Group 1,OPEN,612,569
10399,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Microelectronics & VLSI Design,Group 1,ST,272,272
10400,National Spot Round,National Institute of Technology Calicut,Microelectronics & VLSI Design,Group 1,OBC-NCL,584,584
10401,National Spot Round,National Institute of Technology Calicut,Microelectronics & VLSI Design,Group 1,EWS,553,541
10402,National Spot Round,National Institute of Technology Calicut,Microelectronics & VLSI Design,Group 1,OPEN,596,584
10403,National Spot Round,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,Group 1,SC,252,252
10404,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Microelectronics & VLSI Design,Group 1,OBC-NCL,342,342
10405,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Microelectronics & VLSI Design,Group 1,EWS,327,327
10406,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Microelectronics & VLSI Design,Group 1,OPEN,377,362
10407,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Microelectronics & VLSI Design,Group 1,SC,260,246
10408,National Spot Round,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,OBC-NCL,385,349
10409,National Spot Round,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,EWS,374,370
10410,National Spot Round,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,OPEN,424,389
10411,National Spot Round,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,SC,322,322
10412,National Spot Round,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,Group 1,OBC-NCL,331,330
10413,National Spot Round,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,Group 1,OPEN,350,350
10414,National Spot Round,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,OPEN,351,351
10415,National Spot Round,National Institute of Technology Durgapur,Microelectronics & VLSI,Group 1,OBC-NCL,488,475
10416,National Spot Round,National Institute of Technology Durgapur,Microelectronics & VLSI,Group 1,EWS,467,467
10417,National Spot Round,National Institute of Technology Durgapur,Microelectronics & VLSI,Group 1,OPEN,522,519
10418,National Spot Round,National Institute of Technology Durgapur,Microelectronics & VLSI,Group 1,SC,374,374
10419,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Marine Structures,Group 1,EWS,412,412
10420,National Spot Round,"National Institute of Technology, Tiruchirappalli",Material Science & Engineering,Group 1,OPEN,501,407
10421,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Manufacturing Engineering,Group 1,EWS,335,335
10422,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Mechatronics Engineering,Group 1,OBC-NCL,357,357
10423,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Mechatronics Engineering,Group 2,OBC-NCL,323,323
10424,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Mechatronics Engineering,Group 2,OPEN,409,385
10425,National Spot Round,National Institute of Technology Durgapur,Next Generation Communication and Networks,Group 1,OBC-NCL,344,342
10426,National Spot Round,National Institute of Technology Durgapur,Next Generation Communication and Networks,Group 1,EWS,357,357
10427,National Spot Round,National Institute of Technology Durgapur,Next Generation Communication and Networks,Group 1,OPEN,448,390
10428,National Spot Round,National Institute of Technology Durgapur,Next Generation Communication and Networks,Group 1,SC,269,256
10429,National Spot Round,"National Institute of Technology, Tiruchirappalli",Non Destructive Testing,Group 1,OBC-NCL,346,346
10430,National Spot Round,"National Institute of Technology, Tiruchirappalli",Non Destructive Testing,Group 1,OPEN,360,360
10431,National Spot Round,"National Institute of Technology, Tiruchirappalli",Non Destructive Testing,Group 1,SC,248,226
10432,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Nanotechnology,Group 1,OBC-NCL,315,315
