SNo,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
14,Round 1,"National Institute of Technology, Warangal",Power Electronics & Drives,G1,OBC-NCL,632,607
15,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Efficient & Sustainable Architecture,G1,OPEN,721,532
16,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Efficient & Sustainable Architecture,G1,SC,332,223
17,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Artificial Intelligence,G1,OPEN-PwD,297,297
18,Round 1,"National Institute of Advanced manufacturing Technology, Hatia, Ranchi",Environmental Engineering,G1,SC,271,251
19,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems,G1,EWS,367,367
20,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems,G1,OPEN,583,450
,,,,,,,
1,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems,G1,SC,296,279
2,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Communication Systems,G1,OBC-NCL,383,336
3,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Communication Systems,G1,OPEN,421,387
4,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Communication Systems,G1,SC,279,258
5,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Mechanical Engineering with Specialization in Mechanical Systems Design,G1,OBC-NCL,426,355
6,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Mechanical Engineering with Specialization in Mechanical Systems Design,G1,OPEN,492,431
7,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Mechanical Engineering with Specialization in Mechanical Systems Design,G1,SC,311,260
8,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Mechanical Engineering with Specialization in Smart Manufacturing,G1,OBC-NCL,391,339
9,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Mechanical Engineering with Specialization in Smart Manufacturing,G1,OPEN,563,398
10,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Mechanical Engineering with Specialization in Smart Manufacturing,G1,SC,247,247
11,Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,G1,OBC-NCL,438,400
12,Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,G1,EWS,438,403
13,Round 1,"National Institute of Technology Karnataka, Surathkal",Water Resources Engineering & Management,G1,EWS,475,432
14,Round 1,"National Institute of Technology Karnataka, Surathkal",Water Resources Engineering & Management,G1,OPEN,594,485
15,Round 1,National Institute of Technology Durgapur,Microelectronics & VLSI,G1,EWS,529,529
16,Round 1,Maulana Azad National Institute of Technology Bhopal,Materials Science & Technology,G1,SC,257,210
17,Round 1,Maulana Azad National Institute of Technology Bhopal,Nanotechnology,G1,OBC-NCL,416,360
18,Round 1,"National Institute of Technology, Rourkela",Chemical Engineering,G1,OPEN,426,398
19,Round 1,School of Planning & Architecture: Vijayawada,Transport Planning,G1,OBC-NCL,478,423
